commit	metric	status	description	timestamp	duration_ms
f547898	85.560000	keep	baseline	2026-05-14T17:00:45.767Z	205635
f547898	86.670000	keep	baseline	2026-05-14T18:11:14.510Z	204805
b8b0730	94.440000	keep	Explicitly licensing semantic inference and synonym/paraphrase matching while reserving "I don't know" for cases of genuine missing information should reduce over-hedging on the failure mode where con	2026-05-14T18:14:50.831Z	193687
c56f240	94.440000	discard	Adding an explicit instruction to extract the most specific answer span (entity, number, or phrase) rather than restating the question should reduce vague or evasive answers that the judge marks wrong	2026-05-14T18:18:26.785Z	196332
37639fc	81.110000	discard	Adding an instruction to answer directly without preamble or meta-commentary (e.g., "Based on the context...") should reduce judge-failures caused by verbose framing that obscures the actual answer sp	2026-05-14T18:21:53.823Z	188101
e687079	81.110000	discard	Tightening the "I don't know" guardrail so it triggers only when the topic itself is absent (not when the answer is partial, implicit, or requires combining multiple sentences) should recover edge cas	2026-05-14T18:26:06.983Z	215480
1b973ba	83.330000	discard	Placing the question BEFORE the context primes the model to attend to question-relevant facts as it reads the passage, which should reduce missed answers buried in long contexts without changing the p	2026-05-14T18:30:55.195Z	214716
9ab3353	77.780000	discard	Instructing the model to prefer the exact wording from the context for specific entities/terms/numbers should improve lexical alignment with the judge's expected answer without weakening the existing 	2026-05-14T18:34:58.469Z	195519
19a03c4	76.670000	discard	Adding a brief instruction to ensure the answer directly addresses what the question asks (not adjacent or related information from the context) should reduce judge-failures where the model returns ta	2026-05-14T18:39:41.940Z	186437
af6f002	74.440000	discard	Dropping the "single paragraph" format constraint lets the model match its answer length to the natural answer shape (short phrase for entities/numbers, longer for explanations), which should reduce j	2026-05-14T18:43:51.018Z	197437
b00fe99	76.670000	discard	Removing the redundant lead-in sentence ("The context may paraphrase...") while keeping the operative permissive directive tightens focus without changing the working semantics — simpler prompt, same 	2026-05-14T18:48:15.412Z	200562
b0c82a1	77.780000	discard	Adding a single generic one-shot example demonstrating paraphrase handling teaches the model the desired behavior by demonstration rather than instruction — a structural shift from instruction-only pr	2026-05-14T18:52:35.519Z	198488
0bfbad1	77.780000	discard	Reframing the prompt with explicit role assignment ("fact-extraction assistant") and a numbered approach section — a structural shift from a single declarative paragraph to role + rules — should sharp	2026-05-14T18:57:01.897Z	215880
1614446	83.330000	discard	Adding an evidence-first output scaffold ("Evidence: ..." line, then "Answer: ..." line) forces the model to ground its response in a specific cited fact before committing to an answer, which should r	2026-05-14T19:02:10.234Z	216829
fc6363e	81.110000	discard	Adding an explicit silent chain-of-thought step (identify the relevant fact, then commit) before the final answer is a structural shift not yet tried — it should reduce over-hedging on paraphrased con	2026-05-14T19:06:43.646Z	198668
2314326	86.670000	discard	The remaining ~5 misses likely involve answers that require combining facts across multiple sentences/chunks of the retrieved context — a structural mode of reasoning the current prompt doesn't licens	2026-05-14T19:11:51.195Z	261122
92a19bf	85.560000	discard	Moving the operative instructions to immediately precede the "Answer:" generation point (rather than placing them at the top before the long context) leverages recency-weighting in attention — the ant	2026-05-14T19:16:54.889Z	228758
4c77088	81.110000	discard	Presupposing that the answer IS present in the context (rather than treating presence as conditional) biases the model toward careful extraction over reflexive hedging — a structural shift in the prom	2026-05-14T19:21:15.519Z	222705
6c98850	78.890000	discard	Adding explicit asymmetric error-cost framing — telling the model that incorrect hedging costs more than an imperfect answer — should reduce the remaining "I don't know" failures without weakening the	2026-05-14T19:25:39.281Z	192375
59116c4	75.560000	discard	Combining the two best-performing approaches (permissive paraphrase/synonym license from current best + specific-span extraction directive that also tied at 94.44%) into a single minimal prompt should	2026-05-14T19:28:56.910Z	165791
f9d7b15	87.780000	discard	Explicitly naming "I don't know" in the prompt primes the model toward that escape; removing the mention entirely while keeping the permissive paraphrase license should reduce remaining hedge-failures	2026-05-14T19:33:55.440Z	236486
ebd8aca	80.000000	discard	Reformatting the two embedded directives (permissive paraphrase license + "I don't know" guardrail) as explicit bullet points — a pure structural shift with identical semantic content — should increas	2026-05-14T19:38:49.644Z	203894
dcf8db1	78.890000	discard	Telling the model that a semantic judge (not a lexical match) scores its answer should reduce remaining hedge-failures by aligning the model's risk model with the actual eval — a meta-information refr	2026-05-14T19:42:53.363Z	175351
9c597fc	83.330000	discard	Positioning the specific-span extraction directive (which previously tied the current best at 94.44%) immediately before the answer generation point — while preserving the permissive paraphrase licens	2026-05-14T19:47:53.233Z	177437
3f3c976	81.110000	discard	Adding a license for multi-sentence synthesis on top of the current winning permissive-paraphrase prompt should unlock the remaining ~5% misses where the answer requires combining facts across sentenc	2026-05-14T19:52:27.092Z	197022
9e514e5	73.330000	discard	Replacing the directive "Answer (concise, factual, single paragraph):" with a mid-sentence completion priming ("The answer, based only on the context above, is:") forces the model to commit to a defin	2026-05-14T19:56:57.421Z	180610
6422c02	73.330000	discard	Prepending a "locate the information" directive (drawn from the specific-span extraction approach that tied 94.44%) to the permissive paraphrase license (current 94.44% winner), tightly integrated as 	2026-05-14T20:02:03.482Z	212028
